,ddl,summerflag,winterflag,prem,year,pool,estimate,trued,bucketed,ddl_18,summerflag_18,winterflag_18,year_18,pool_18,factor_18,trued_18,bucketed_18,ddl_17,summerflag_17,winterflag_17,year_17,pool_17,factor_17,trued_17,bucketed_17,variation
7183,2.407,0,0,4462939,2019,ATL,1.221567,2.940311769,3.024,2.213,0.0,0.0,2018.0,ATL,1.2182,2.6958766,2.717,12.323,0.0,0.0,2017.0,ATL,1.2617,15.547929100000001,16.24,33.42946533333333
7915,106.564,0,0,4836253,2019,SNG,1.0985,117.060554,119.987,103.618,0.0,0.0,2018.0,SNG,1.0775,111.64839499999998,114.44,70.63,0.0,0.0,2017.0,SNG,1.1546,81.549398,83.588,398.023236
8054,34.935,0,0,4893843,2019,ATL,1.221567,42.675443145,48.29,51.71,0.0,0.0,2018.0,ATL,1.2182,62.993122,64.568,37.192,0.0,0.0,2017.0,ATL,1.2617,46.9251464,48.29,82.87783299999998
9416,28.335,0,0,5523244,2019,TRA,1.154433,32.710859055,33.209,15.325,0.0,0.0,2018.0,TRA,1.1404,17.47663,16.24,14.345999999999998,0.0,0.0,2017.0,TRA,1.2324,17.680010399999997,16.24,60.985110333333346
10304,6.027,0,0,5977336,2019,ATL,1.221567,7.362384309,7.425,15.045,0.0,0.0,2018.0,ATL,1.2182,18.327818999999998,20.379,2.772,0.0,0.0,2017.0,ATL,1.2617,3.4974323999999997,3.316,40.424313000000005
10423,18.883,0,0,6032742,2019,AUG,1.3324,25.159709199999998,25.362,19.606,0.0,0.0,2018.0,AUG,1.361,26.683766000000002,25.362,31.895,0.0,0.0,2017.0,AUG,1.2987,41.4220365,48.29,53.475732333333326
12006,40.277,0,0,6779049,2019,ATL,1.221567,49.201054059,48.29,,-1.0,0.0,2018.0,ATL,1.2182,,,22.231,0.0,0.0,2017.0,ATL,1.2617,28.048852700000005,33.209,162.82905799999997
12162,64.965,0,0,6862102,2019,ATL,1.221567,79.35910015500001,81.343,72.157,0.0,0.0,2018.0,ATL,1.2182,87.90165739999999,90.099,57.142,0.0,0.0,2017.0,ATL,1.2617,72.09606140000001,73.898,56.39573633333329
12443,21.785999999999998,0,0,6993707,2019,ATL,1.221567,26.613058662,25.362,8.302,0.0,0.0,2018.0,ATL,1.2182,10.113496399999999,11.225,5.005,0.0,0.0,2017.0,ATL,1.2617,6.3148085,6.396,79.04840433333331
13310,1413.435,0,0,7391708,2019,SAV,1.2909329999999999,1824.6498848549998,1870.266,1279.803,0.0,0.0,2018.0,SAV,1.2667,1621.1264601,1661.655,1083.625,0.0,0.0,2017.0,SAV,1.3493,1462.1352124999999,1498.689,27519.65920133333
