,ddl,summerflag,winterflag,prem,year,pool,estimate,trued,bucketed,ddl_18,summerflag_18,winterflag_18,year_18,pool_18,factor_18,trued_18,bucketed_18,ddl_17,summerflag_17,winterflag_17,year_17,pool_17,factor_17,trued_17,bucketed_17,variation
503009,0.594,0,0,292164643,2019,ATL,1.221567,0.7256107980000001,0.768,13.295,0.0,0.0,2018.0,ATL,1.2182,16.195968999999998,16.24,0.0,0.0,0.0,2017.0,ATL,1.2617,0.0,0.024,56.404210333333324
503347,30.320999999999998,0,0,292333174,2019,ATL,1.221567,37.039133007,33.209,22.639,0.0,0.0,2018.0,ATL,1.2182,27.578829799999998,25.362,18.382,0.0,0.0,2017.0,ATL,1.2617,23.192569400000004,25.362,36.61248233333331
504471,50.26300000000001,0,0,292850905,2019,ATL,1.221567,61.39962212100002,62.935,35.975,0.0,0.0,2018.0,ATL,1.2182,43.824745,48.29,28.664,0.0,0.0,2017.0,ATL,1.2617,36.1653688,33.209,120.68574433333347
505195,890.602,0,0,293296797,2019,ATL,1.221567,1087.930013334,1115.128,757.1030000000002,0.0,0.0,2018.0,ATL,1.2182,922.3028746000002,945.36,1074.871,0.0,0.0,2017.0,ATL,1.2617,1356.1647407000003,1390.069,25458.924864333323
505546,27.366,0,0,293470511,2019,ATL,1.221567,33.429402522000004,33.209,17.575,0.0,0.0,2018.0,ATL,1.2182,21.409865,20.379,14.890999999999998,0.0,0.0,2017.0,ATL,1.2617,18.7879747,20.379,43.11552700000001
505776,3.492,0,0,293571339,2019,ATL,1.221567,4.265711964,4.349,3.119,0.0,0.0,2018.0,ATL,1.2182,3.7995658000000003,3.831,41.279,0.0,0.0,2017.0,ATL,1.2617,52.08171430000001,48.29,480.69701633333347
506602,30.875999999999998,0,0,293951667,2019,ATL,1.221567,37.717102692,33.209,19.975,0.0,0.0,2018.0,ATL,1.2182,24.333545,25.362,50.14100000000001,0.0,0.0,2017.0,ATL,1.2617,63.26289970000002,64.844,233.3265970000002
507315,46.646,0,0,294259634,2019,ATL,1.221567,56.981214282,48.29,21.097,0.0,0.0,2018.0,ATL,1.2182,25.7003654,25.362,44.121,0.0,0.0,2017.0,ATL,1.2617,55.66746570000001,48.29,198.205267
507834,65.695,0,0,294481148,2019,ATL,1.221567,80.250844065,82.257,52.37,0.0,0.0,2018.0,ATL,1.2182,63.79713399999999,65.392,41.482,0.0,0.0,2017.0,ATL,1.2617,52.3378394,48.29,147.06225633333327
508135,20.649,0,0,294615171,2019,ATL,1.221567,25.224136983,25.362,1.3019999999999998,0.0,0.0,2018.0,ATL,1.2182,1.5860963999999997,1.588,0.39,0.0,0.0,2017.0,ATL,1.2617,0.49206300000000003,0.461,130.92753900000002
508154,0.0,0,0,294624186,2019,ATL,1.221567,0.0,0.024,10.11,0.0,1.0,2018.0,ATL,1.2182,12.316002,13.288,10.114,0.0,0.0,2017.0,ATL,1.2617,12.760833800000002,13.288,34.08418533333333
508827,73.304,0,0,294976859,2019,ATL,1.221567,89.54574736800001,91.784,196.568,0.0,0.0,2018.0,ATL,1.2182,239.4591376,245.446,138.562,0.0,0.0,2017.0,ATL,1.2617,174.8236754,179.194,3802.886049333334
510196,236.925,0,0,295609225,2019,ATL,1.221567,289.41976147500003,296.655,201.915,0.0,0.0,2018.0,ATL,1.2182,245.972853,252.122,153.532,0.0,0.0,2017.0,ATL,1.2617,193.71132440000002,198.554,1753.5012063333334
510239,27.862,0,0,295627856,2019,ATL,1.221567,34.035299754,33.209,26.684,0.0,0.0,2018.0,ATL,1.2182,32.5064488,33.209,36.286,0.0,0.0,2017.0,ATL,1.2617,45.7820462,48.29,27.42497733333334
510711,1.197,0,0,295904885,2019,ATL,1.221567,1.4622156990000001,1.484,49.124,0.0,0.0,2018.0,ATL,1.2182,59.8428568,48.29,69.748,0.0,0.0,2017.0,ATL,1.2617,88.00105160000001,90.201,1236.931051
511203,4.169,0,0,296171429,2019,BRU,1.132533,4.721530077,4.863,7.1629999999999985,0.0,0.0,2018.0,BRU,1.2119,8.680839699999998,8.961,14.35,0.0,0.0,2017.0,BRU,1.054,15.1249,16.24,27.378294333333336
511310,0.075,0,0,296243271,2019,AUG,1.3324,0.09993,0.154,8.24,0.0,0.0,2018.0,AUG,1.361,11.214640000000001,11.225,9.838,0.0,0.0,2017.0,AUG,1.2987,12.776610599999998,13.288,27.422832999999997
511459,5.415,0,0,296316953,2019,ATL,1.221567,6.614785305000001,6.906,15.968,0.0,0.0,2018.0,ATL,1.2182,19.4522176,20.379,11.421,0.0,0.0,2017.0,ATL,1.2617,14.409875699999999,16.24,28.018842333333335
511595,77.404,0,0,296378708,2019,ATL,1.221567,94.554172068,96.918,82.727,0.0,0.0,2018.0,ATL,1.2182,100.7780314,103.297,72.592,0.0,0.0,2017.0,ATL,1.2617,91.5893264,93.879,25.70131633333336
511805,33.479,0,0,296468054,2019,ATL,1.221567,40.896841593000005,48.29,40.832,0.0,0.0,2018.0,ATL,1.2182,49.7415424,48.29,29.178,0.0,0.0,2017.0,ATL,1.2617,36.8138826,33.209,34.73015433333333
512668,16.301,0,0,296889149,2019,ATL,1.221567,19.912763667,20.379,4.007,0.0,0.0,2018.0,ATL,1.2182,4.881327399999999,4.863,6.829,0.0,0.0,2017.0,ATL,1.2617,8.6161493,8.961,41.47081733333332
512857,21.843000000000004,0,0,297017969,2019,ATL,1.221567,26.682687981000004,25.362,12.097,0.0,0.0,2018.0,ATL,1.2182,14.736565399999998,16.24,16.586,0.0,0.0,2017.0,ATL,1.2617,20.9265562,20.379,23.79528100000002
513386,35.586,0,0,297252839,2019,TRA,1.154433,41.081652738,48.29,15.398,0.0,0.0,2018.0,TRA,1.1404,17.5598792,16.24,23.066,0.0,0.0,2017.0,TRA,1.2324,28.4265384,33.209,103.85066133333332
513758,33.598,0,0,297406747,2019,ATL,1.221567,41.042208066,48.29,8.954,0.0,0.0,2018.0,ATL,1.2182,10.9077628,11.225,43.995,0.0,0.0,2017.0,ATL,1.2617,55.5084915,48.29,323.88267099999996
515079,10.212,0,0,297953125,2019,ATL,1.221567,12.474642204,13.288,10.859000000000002,0.0,0.0,2018.0,ATL,1.2182,13.228433800000001,13.288,19.046,0.0,0.0,2017.0,ATL,1.2617,24.0303382,25.362,24.247522333333325
515085,21.983,0,0,297957332,2019,ATL,1.221567,26.853707361,25.362,22.595,0.0,0.0,2018.0,ATL,1.2182,27.525228999999996,25.362,10.773,0.0,0.0,2017.0,ATL,1.2617,13.5922941,13.288,44.29972133333333
515187,27.498,0,0,297998200,2019,ATL,1.221567,33.590649366,33.209,27.269,0.0,0.0,2018.0,ATL,1.2182,33.2190958,33.209,9.629,0.0,0.0,2017.0,ATL,1.2617,12.1489093,13.288,105.08720033333334
516610,19.153,0,0,298628012,2019,ATL,1.221567,23.396672751,25.362,16.115,0.0,0.0,2018.0,ATL,1.2182,19.631292999999996,20.379,6.234,0.0,0.0,2017.0,ATL,1.2617,7.8654378000000005,7.939,45.62736099999999
517284,43.006,0,0,298915037,2019,ATL,1.221567,52.534710402,48.29,46.632,0.0,0.0,2018.0,ATL,1.2182,56.8071024,48.29,0.0,0.0,0.0,2017.0,ATL,1.2617,0.0,0.024,672.8678893333333
517736,11.054,0,0,299099232,2019,ATL,1.221567,13.503201618,13.288,1.232,0.0,0.0,2018.0,ATL,1.2182,1.5008224,1.588,1.396,0.0,0.0,2017.0,ATL,1.2617,1.7613332,1.793,31.629257333333335
518119,,-1,0,299253638,2019,ATL,1.221567,,,63.895,1.0,0.0,2018.0,ATL,1.2182,77.836889,79.783,74.625,0.0,0.0,2017.0,ATL,1.2617,94.1543625,96.508,57.56644999999997
518966,5.218999999999999,0,0,299607306,2019,ATL,1.221567,6.3753581729999995,6.396,6.505,0.0,0.0,2018.0,ATL,1.2182,7.924391,7.939,15.559,0.0,0.0,2017.0,ATL,1.2617,19.6307903,20.379,31.757385333333332
520291,39.451,0,0,300169823,2019,ATL,1.221567,48.192039717,48.29,37.367,0.0,0.0,2018.0,ATL,1.2182,45.52047939999999,48.29,20.334,0.0,0.0,2017.0,ATL,1.2617,25.6554078,25.362,109.987639
520625,10.832,0,0,300300977,2019,ATL,1.221567,13.232013744000001,13.288,7.963999999999999,0.0,0.0,2018.0,ATL,1.2182,9.701744799999998,9.978,0.8909999999999999,0.0,0.0,2017.0,ATL,1.2617,1.1241747,1.178,26.179372333333333
522964,,-1,0,301347573,2019,ATL,1.221567,,,81.688,1.0,0.0,2018.0,ATL,1.2182,99.51232159999999,102.0,38.514,0.0,0.0,2017.0,ATL,1.2617,48.593113800000005,48.29,931.997138
522972,1.436,0,0,301350578,2019,ATL,1.221567,1.754170212,1.793,13.976,0.0,0.0,2018.0,ATL,1.2182,17.0255632,16.24,5.5379999999999985,0.0,0.0,2017.0,ATL,1.2617,6.9872945999999985,6.906,40.879641333333346
522975,4.095,0,0,301352381,2019,ATL,1.221567,5.002316865,5.374,18.837,0.0,0.0,2018.0,ATL,1.2182,22.9472334,25.362,46.475,0.0,0.0,2017.0,ATL,1.2617,58.637507500000005,48.29,462.8750013333334
523396,14.155999999999999,0,0,301533282,2019,ATL,1.221567,17.292502452,16.24,9.462,0.0,0.0,2018.0,ATL,1.2182,11.526608399999999,11.225,24.023000000000003,0.0,0.0,2017.0,ATL,1.2617,30.309819100000006,33.209,55.235674333333364
523408,17.730999999999995,0,0,301539226,2019,ATL,1.221567,21.659604476999995,20.379,18.984,0.0,0.0,2018.0,ATL,1.2182,23.1263088,25.362,26.88,0.0,0.0,2017.0,ATL,1.2617,33.914496,33.209,24.60350433333334
523541,30.388,0,0,301597022,2019,ATL,1.221567,37.12097799600001,33.209,42.554,0.0,0.0,2018.0,ATL,1.2182,51.8392828,48.29,6.215,0.0,0.0,2017.0,ATL,1.2617,7.8414655,7.939,342.1447343333334
523766,27.967,0,0,301695083,2019,ATL,1.221567,34.163564289,33.209,51.874,0.0,0.0,2018.0,ATL,1.2182,63.1929068,64.773,,-1.0,0.0,2017.0,ATL,1.2617,,,285.7723245000001
524402,12.628,0,0,301971309,2019,TRA,1.154433,14.578179924,16.24,20.777,0.0,0.0,2018.0,TRA,1.1404,23.6940908,25.362,10.595999999999998,0.0,0.0,2017.0,TRA,1.2324,13.058510399999998,13.288,29.031331000000012
525651,149.638,0,0,302511026,2019,TRA,1.154433,172.747045254,177.066,96.728,0.0,0.0,2018.0,TRA,1.1404,110.3086112,113.066,42.88800000000001,0.0,0.0,2017.0,TRA,1.2324,52.855171200000015,48.29,2848.9627
526344,48.195,0,0,302801539,2019,ATL,1.221567,58.873421565,48.29,64.124,0.0,0.0,2018.0,ATL,1.2182,78.11585679999999,80.069,,-1.0,0.0,2017.0,ATL,1.2617,,,126.86652049999992
526788,20.704,0,0,302992911,2019,BRU,1.132533,23.447963232,25.362,6.666,0.0,0.0,2018.0,BRU,1.2119,8.0785254,8.453,6.0520000000000005,0.0,0.0,2017.0,BRU,1.054,6.378808000000001,6.396,68.68725733333333
527005,112.831,0,0,303092400,2019,MAC,1.2811,144.5477941,148.161,86.885,0.0,0.0,2018.0,MAC,1.2697,110.3178845,113.076,67.919,0.0,0.0,2017.0,MAC,1.3218,89.7753342,92.02,508.33196933333346
527102,21.965999999999998,0,0,303134951,2019,ATL,1.221567,26.832940722,25.362,13.145,0.0,0.0,2018.0,ATL,1.2182,16.013239,16.24,22.577,0.0,0.0,2017.0,ATL,1.2617,28.485400900000002,33.209,27.857664333333336
527497,36.266,0,0,303298000,2019,ATL,1.221567,44.301348822,48.29,46.18,0.0,0.0,2018.0,ATL,1.2182,56.256476,48.29,39.38800000000001,0.0,0.0,2017.0,ATL,1.2617,49.69583960000002,48.29,25.694257333333322
528396,11.698,0,0,303719225,2019,ATL,1.221567,14.289890766000001,16.24,13.314,0.0,0.0,2018.0,ATL,1.2182,16.2191148,16.24,22.524,0.0,0.0,2017.0,ATL,1.2617,28.418530800000003,33.209,34.10630533333334
528852,51.567,0,0,303947346,2019,TRA,1.154433,59.530646511,48.29,38.471,0.0,0.0,2018.0,TRA,1.1404,43.8723284,48.29,40.793,0.0,0.0,2017.0,TRA,1.2324,50.2732932,48.29,48.829329333333355
529234,30.84,0,0,304121322,2019,ATL,1.221567,37.673126280000005,33.209,50.77,0.0,0.0,2018.0,ATL,1.2182,61.848014,63.394,22.984,0.0,0.0,2017.0,ATL,1.2617,28.998912800000003,33.209,205.16390533333336
529769,1.146,0,0,304367359,2019,ATL,1.221567,1.3999157819999999,1.484,12.358,0.0,0.0,2018.0,ATL,1.2182,15.0545156,16.24,0.556,0.0,0.0,2017.0,ATL,1.2617,0.7015052,0.768,44.22404133333334
530889,18.236,0,0,304841531,2019,ATL,1.221567,22.276495812000004,25.362,27.093000000000004,0.0,0.0,2018.0,ATL,1.2182,33.004692600000006,33.209,26.372,0.0,0.0,2017.0,ATL,1.2617,33.2735524,33.209,24.193464333333342
531154,226.347,0,0,304956176,2019,ATL,1.221567,276.498025749,283.41,208.512,0.0,0.0,2018.0,ATL,1.2182,254.00931839999998,260.36,,-1.0,0.0,2017.0,ATL,1.2617,,,159.04361250000014
531442,13.175,0,0,305105626,2019,SNG,1.0985,14.472737500000001,16.24,22.476,0.0,0.0,2018.0,SNG,1.0775,24.217889999999997,25.362,14.457,0.0,0.0,2017.0,SNG,1.1546,16.692052200000003,16.24,25.409414333333324
531675,15.582,0,0,305213205,2019,MAC,1.2811,19.9621002,20.379,4.7,0.0,0.0,2018.0,MAC,1.2697,5.96759,5.887,1.14,0.0,0.0,2017.0,MAC,1.3218,1.5068519999999999,1.588,56.61048133333334
531697,20.222,0,0,305227028,2019,MAC,1.2811,25.9064042,25.362,12.425,0.0,0.0,2018.0,MAC,1.2697,15.776022500000002,16.24,,-1.0,0.0,2017.0,MAC,1.3218,,,30.396604500000002
531770,30.47,0,0,305279436,2019,ATL,1.221567,37.22114649,33.209,29.524,0.0,0.0,2018.0,ATL,1.2182,35.9661368,33.209,20.185,0.0,0.0,2017.0,ATL,1.2617,25.4674145,25.362,32.31551033333334
532688,54.173,0,0,305739914,2019,ATL,1.221567,66.175949091,67.83,49.077,0.0,0.0,2018.0,ATL,1.2182,59.7856014,48.29,62.024,0.0,0.0,2017.0,ATL,1.2617,78.25568080000001,80.212,42.53870433333336
533007,522.836,0,0,305938329,2019,TRA,1.154433,603.5791319880001,618.669,368.6,0.0,0.0,2018.0,TRA,1.1404,420.3514400000001,430.86,360.546,0.0,0.0,2017.0,TRA,1.2324,444.33689039999996,455.445,8365.275785333335
533069,312.677,0,0,305985608,2019,ATL,1.221567,381.95590485900004,391.505,278.638,0.0,0.0,2018.0,ATL,1.2182,339.43681159999994,347.923,293.545,0.0,0.0,2017.0,ATL,1.2617,370.36572650000005,379.625,291.1509323333341
534318,15.072000000000001,0,0,306798643,2019,BRU,1.132533,17.069537376,16.24,18.484,0.0,0.0,2018.0,BRU,1.2119,22.4007596,25.362,6.674,0.0,0.0,2017.0,BRU,1.054,7.034396000000001,7.425,36.94070800000001
534437,42.26300000000001,0,0,306883554,2019,ATL,1.221567,51.62708612100002,48.29,63.845,0.0,0.0,2018.0,ATL,1.2182,77.77597899999999,79.72,24.313,0.0,0.0,2017.0,ATL,1.2617,30.6757121,33.209,391.7940413333333
534516,11.1,0,0,306931357,2019,ATL,1.221567,13.559393700000001,13.288,0.101,0.0,0.0,2018.0,ATL,1.2182,0.1230382,0.154,0.116,0.0,0.0,2017.0,ATL,1.2617,0.14635720000000002,0.154,40.27108033333333
535235,1.86,0,0,307312024,2019,MAC,1.2811,2.382846,2.408,1.84,0.0,0.0,2018.0,MAC,1.2697,2.3362480000000003,2.408,14.957,0.0,0.0,2017.0,MAC,1.3218,19.770162600000003,20.379,57.264583
535238,27.676,0,0,307313099,2019,ATL,1.221567,33.808088292,33.209,23.119,0.0,0.0,2018.0,ATL,1.2182,28.163565799999997,33.209,16.508,0.0,0.0,2017.0,ATL,1.2617,20.8281436,20.379,31.532632333333332
535241,88.008,0,0,307313823,2019,ATL,1.221567,107.507668536,110.195,76.983,0.0,0.0,2018.0,ATL,1.2182,93.7806906,96.125,68.363,0.0,0.0,2017.0,ATL,1.2617,86.25359710000001,88.41,96.9635083333333
535265,31.675,0,0,307328725,2019,ATL,1.221567,38.693134725,48.29,18.762,0.0,0.0,2018.0,ATL,1.2182,22.8558684,25.362,20.277,0.0,0.0,2017.0,ATL,1.2617,25.5834909,25.362,49.82586633333334
535266,57.653,0,0,307329326,2019,ATL,1.221567,70.427002251,72.188,16.636,0.0,0.0,2018.0,ATL,1.2182,20.2659752,20.379,19.223,0.0,0.0,2017.0,ATL,1.2617,24.2536591,25.362,527.6586263333334
535272,20.348,0,0,307332331,2019,ATL,1.221567,24.856445316,25.362,10.1,0.0,0.0,2018.0,ATL,1.2182,12.303819999999998,13.288,21.657,0.0,0.0,2017.0,ATL,1.2617,27.3246369,25.362,40.04987233333333
535274,19.222,0,0,307332932,2019,ATL,1.221567,23.480960874000004,25.362,24.816,0.0,0.0,2018.0,ATL,1.2182,30.230851199999996,33.209,9.46,0.0,0.0,2017.0,ATL,1.2617,11.935682000000002,11.225,60.39936933333332
535283,115.081,0,0,307338341,2019,ATL,1.221567,140.579151927,144.094,105.683,0.0,0.0,2018.0,ATL,1.2182,128.7430306,131.962,114.286,0.0,0.0,2017.0,ATL,1.2617,144.1946462,147.8,27.161006333333308
535763,9.076,0,0,307565516,2019,TRA,1.154433,10.477633908000001,11.225,21.967,0.0,0.0,2018.0,TRA,1.1404,25.0511668,25.362,39.542,0.0,0.0,2017.0,TRA,1.2324,48.7315608,48.29,233.87261033333334
536054,36.527,0,0,307704350,2019,ATL,1.221567,44.620177809000005,48.29,36.372,0.0,0.0,2018.0,ATL,1.2182,44.3083704,48.29,17.737000000000005,0.0,0.0,2017.0,ATL,1.2617,22.37877290000001,25.362,116.72522499999994
536173,6.88,0,0,307769258,2019,ATL,1.221567,8.404380960000001,8.453,22.033,0.0,0.0,2018.0,ATL,1.2182,26.840600600000002,25.362,40.041,1.0,0.0,2017.0,ATL,1.2617,50.5197297,48.29,275.5922323333333
536184,41.353,0,0,307775869,2019,ATL,1.221567,50.515460151000006,48.29,83.95200000000001,0.0,0.0,2018.0,ATL,1.2182,102.27032640000002,104.827,63.742,0.0,0.0,2017.0,ATL,1.2617,80.4232814,82.434,454.0643703333336
536301,20.566,0,0,307848323,2019,AUG,1.3324,27.4021384,25.362,10.571,0.0,0.0,2018.0,AUG,1.361,14.387131,16.24,23.182,0.0,0.0,2017.0,AUG,1.2987,30.1064634,33.209,44.29680033333332
536534,26.68,0,0,307965859,2019,ATL,1.221567,32.59140756,33.209,0.47,0.0,0.0,2018.0,ATL,1.2182,0.5725539999999999,0.563,0.502,0.0,0.0,2017.0,ATL,1.2617,0.6333734,0.665,228.70880133333333
537039,58.28,0,0,308261477,2019,MAC,1.2811,74.662508,76.529,52.2,0.0,0.0,2018.0,MAC,1.2697,66.27834,67.935,45.604,0.0,0.0,2017.0,MAC,1.3218,60.2793672,61.786,40.19243200000001
537049,30.160999999999998,0,0,308269735,2019,SNG,1.0985,33.1318585,33.209,17.801,0.0,0.0,2018.0,SNG,1.0775,19.1805775,20.379,15.86,0.0,0.0,2017.0,SNG,1.1546,18.311956000000002,20.379,60.175946999999994
537939,14.585999999999999,0,0,308753131,2019,ATL,1.221567,17.817776262,16.24,3.3710000000000004,0.0,0.0,2018.0,ATL,1.2182,4.1065522,4.349,105.088,0.0,0.0,2017.0,ATL,1.2617,132.5895296,135.904,3110.456053
538254,25.72300000000001,0,0,308889946,2019,ATL,1.221567,31.422367941000015,33.209,23.477,0.0,0.0,2018.0,ATL,1.2182,28.599681399999998,33.209,16.129,0.0,0.0,2017.0,ATL,1.2617,20.349959300000002,20.379,25.180409333333365
538367,29.011999999999997,0,0,308938117,2019,TRA,1.154433,33.492410195999994,33.209,15.394,0.0,0.0,2018.0,TRA,1.1404,17.555317600000002,16.24,14.302,0.0,0.0,2017.0,TRA,1.2324,17.625784799999998,16.24,67.1710813333333
538957,30.01,0,0,309211713,2019,ATL,1.221567,36.659225670000005,33.209,17.198,0.0,0.0,2018.0,ATL,1.2182,20.9506036,20.379,19.888,0.0,0.0,2017.0,ATL,1.2617,25.092689600000003,25.362,45.63972133333334
539580,172.46599999999995,0,0,309495330,2019,ATL,1.221567,210.67877422199996,215.946,158.171,0.0,0.0,2018.0,ATL,1.2182,192.68391219999998,197.501,187.734,0.0,0.0,2017.0,ATL,1.2617,236.86398780000002,242.786,218.5716363333336
539588,39.789,0,0,309498027,2019,MAC,1.2811,50.9736879,48.29,46.98,0.0,0.0,2018.0,MAC,1.2697,59.650506,48.29,30.75,0.0,0.0,2017.0,MAC,1.3218,40.64535,48.29,66.13781699999997
539898,19.539,0,0,309630555,2019,ATL,1.221567,23.868197613000003,25.362,23.345,0.0,0.0,2018.0,ATL,1.2182,28.438878999999996,33.209,11.716,0.0,0.0,2017.0,ATL,1.2617,14.7820772,16.24,35.15310100000001
540365,40.004,0,0,309840454,2019,TRA,1.154433,46.181937732,48.29,37.57,0.0,0.0,2018.0,TRA,1.1404,42.84482800000001,48.29,54.519,0.0,0.0,2017.0,TRA,1.2324,67.1892156,68.869,83.97969699999999
540823,47.926,0,0,310078300,2019,ATL,1.221567,58.544820042000005,48.29,47.632,0.0,0.0,2018.0,ATL,1.2182,58.025302399999994,48.29,56.109,0.0,0.0,2017.0,ATL,1.2617,70.7927253,72.563,23.151242333333343
540859,32.05,0,0,310096330,2019,ATL,1.221567,39.15122235,48.29,42.526,0.0,0.0,2018.0,ATL,1.2182,51.8051732,48.29,45.467,0.0,0.0,2017.0,ATL,1.2617,57.3657139,48.29,49.73532433333336
540916,18.577,0,0,310123375,2019,ATL,1.221567,22.693050159000002,25.362,16.848,0.0,0.0,2018.0,ATL,1.2182,20.5242336,20.379,31.693,0.0,0.0,2017.0,ATL,1.2617,39.987058100000006,48.29,65.89882033333335
542258,4.513999999999999,0,0,310715159,2019,TRA,1.154433,5.211110561999999,5.374,19.012,0.0,0.0,2018.0,TRA,1.1404,21.681284800000004,20.379,4.248,0.0,0.0,2017.0,TRA,1.2324,5.2352352,5.374,71.373076
542660,15.431,0,0,310881717,2019,ATL,1.221567,18.850000377,20.379,0.0,0.0,0.0,2018.0,ATL,1.2182,0.0,0.024,45.629,0.0,0.0,2017.0,ATL,1.2617,57.5701093,48.29,538.6734343333333
542973,131.197,0,0,311018529,2019,ATL,1.221567,160.265925699,164.273,127.207,0.0,0.0,2018.0,ATL,1.2182,154.9635674,158.838,119.608,0.0,0.0,2017.0,ATL,1.2617,150.90941360000002,154.682,34.66163699999998
543119,34.934,0,0,311106611,2019,ROM,1.112033,38.847760822,48.29,27.426,0.0,0.0,2018.0,ROM,1.0876,29.828517599999994,33.209,21.82,0.0,0.0,2017.0,ROM,1.1691,25.509762000000002,25.362,43.295715999999985
543508,16.104,0,0,311288352,2019,ATL,1.221567,19.672114968,20.379,2.48,0.0,0.0,2018.0,ATL,1.2182,3.021136,3.316,1.463,0.0,0.0,2017.0,ATL,1.2617,1.8458671000000002,1.895,66.83442433333333
544212,0.299,0,0,311637294,2019,ATL,1.221567,0.365248533,0.358,9.936,0.0,0.0,2018.0,ATL,1.2182,12.1040352,13.288,8.85,0.0,0.0,2017.0,ATL,1.2617,11.166045,11.225,27.86179433333333
544568,1450.136,0,0,311801393,2019,ROM,1.112033,1612.599086488,1652.914,1476.414,0.0,0.0,2018.0,ROM,1.0876,1605.7478663999998,1645.892,,-1.0,0.0,2017.0,ROM,1.1691,,,345.2666420000005
544645,0.23600000000000002,0,0,311832619,2019,ATL,1.221567,0.28828981200000003,0.255,6.685,0.0,0.0,2018.0,ATL,1.2182,8.143666999999999,8.453,12.922,0.0,0.0,2017.0,ATL,1.2617,16.3036874,16.24,40.23739433333334
544836,27.691,0,0,311926375,2019,ATL,1.221567,33.826411797,33.209,13.812,0.0,0.0,2018.0,ATL,1.2182,16.825778399999997,16.24,7.466,0.0,0.0,2017.0,ATL,1.2617,9.419852200000001,9.479,106.99149699999998
544853,25.685,0,0,311933587,2019,ATL,1.221567,31.375948395,33.209,13.008,0.0,0.0,2018.0,ATL,1.2182,15.846345599999998,16.24,16.995,0.0,0.0,2017.0,ATL,1.2617,21.442591500000002,20.379,42.01976633333333
544906,,-1,0,311958829,2019,ATL,1.221567,,,11.957,0.0,0.0,2018.0,ATL,1.2182,14.5660174,16.24,2.066,0.0,0.0,2017.0,ATL,1.2617,2.6066721999999998,2.717,48.915940500000005
544915,13.526,0,0,311961834,2019,ATL,1.221567,16.522915242,16.24,,-1.0,0.0,2018.0,ATL,1.2182,,,3.762,0.0,0.0,2017.0,ATL,1.2617,4.7465154,4.863,47.66784799999999
545506,28.1,0,0,312235814,2019,ATL,1.221567,34.326032700000006,33.209,12.986,0.0,0.0,2018.0,ATL,1.2182,15.8195452,16.24,17.666,0.0,0.0,2017.0,ATL,1.2617,22.289192200000002,25.362,59.86729200000001
547187,108.514,0,0,312983733,2019,ATL,1.221567,132.557121438,135.871,66.426,0.0,0.0,2018.0,ATL,1.2182,80.9201532,82.943,133.93,0.0,0.0,2017.0,ATL,1.2617,168.97948100000002,173.204,1162.3604693333334
548690,25.462,0,0,313607602,2019,ATL,1.221567,31.103538954,33.209,15.751,0.0,0.0,2018.0,ATL,1.2182,19.187868199999997,20.379,14.734000000000002,0.0,0.0,2017.0,ATL,1.2617,18.589887800000003,20.379,35.071298999999996
548796,55.11600000000001,0,0,313662138,2019,ATL,1.221567,67.32788677200001,69.011,34.953,0.0,0.0,2018.0,ATL,1.2182,42.579744600000005,48.29,51.29600000000001,0.0,0.0,2017.0,ATL,1.2617,64.72016320000002,66.338,114.70543633333338
548923,14.912,0,0,313722163,2019,ATL,1.221567,18.216007104000003,20.379,0.058,0.0,0.0,2018.0,ATL,1.2182,0.0706556,0.024,7.532,0.0,0.0,2017.0,ATL,1.2617,9.5031244,9.978,55.16106533333334
549995,,-1,0,314175526,2019,ATL,1.221567,,,7.324,0.0,0.0,2018.0,ATL,1.2182,8.9220968,8.961,0.014,0.0,0.0,2017.0,ATL,1.2617,0.0176638,0.024,26.71805
550526,51.508,0,0,314399658,2019,ATL,1.221567,62.920473036000004,64.493,65.20100000000001,0.0,0.0,2018.0,ATL,1.2182,79.4278582,81.414,46.448,0.0,0.0,2017.0,ATL,1.2617,58.603441600000004,48.29,94.1294763333334
551213,35.281,0,0,314693980,2019,ATL,1.221567,43.098105327,48.29,27.341,0.0,0.0,2018.0,ATL,1.2182,33.3068062,33.209,25.849,0.0,0.0,2017.0,ATL,1.2617,32.6136833,33.209,25.705381333333328
551510,42.559,0,0,314825434,2019,TRA,1.154433,49.131514046999996,48.29,2.959,0.0,0.0,2018.0,TRA,1.1404,3.3744436,3.316,0.0,0.0,0.0,2017.0,TRA,1.2324,0.0,0.024,564.6973603333333
551707,49.383,0,0,314915505,2019,ATL,1.221567,60.324643161000004,61.833,35.729,0.0,0.0,2018.0,ATL,1.2182,43.525067799999995,48.29,15.03,0.0,0.0,2017.0,ATL,1.2617,18.963351,20.379,299.16815433333335
551711,20.901999999999997,0,0,314918153,2019,ATL,1.221567,25.533193433999998,25.362,11.099,0.0,0.0,2018.0,ATL,1.2182,13.5208018,13.288,5.077,0.0,0.0,2017.0,ATL,1.2617,6.4056509,6.396,63.79898633333332
551727,55.018,0,0,314925001,2019,TRA,1.154433,63.514594794000004,65.102,16.262,0.0,0.0,2018.0,TRA,1.1404,18.5451848,20.379,4.577,0.0,0.0,2017.0,TRA,1.2324,5.6406947999999995,5.887,697.1435403333332
